year,old_name,new_name,reversed,note
2004,jc005,hypertension,FALSE,"1. yes, 3. Disputes. previous wave record, but now has, 4. disputes previous wave record, does not have, 5. No, 8. DK NA, 9. Refused"
2004,jc010,diabetes,FALSE,"1. yes, 3. Disputes. previous wave record, but now has, 4. disputes previous wave record, does not have, 5. No, 8. DK NA, 9. Refused"
2004,jc018,cancer,FALSE,"1. yes, 3. Disputes. previous wave record, but now has, 4. disputes previous wave record, does not have, 5. No, 8. DK NA, 9. Refused"
2004,jc030,lungdisease,FALSE,"1. yes, 3. Disputes. previous wave record, but now has, 4. disputes previous wave record, does not have, 5. No, 8. DK NA, 9. Refused"
2004,jc036,heart,FALSE,"1. yes, 3. Disputes. previous wave record, but now has, 4. disputes previous wave record, does not have, 5. No, 8. DK NA, 9. Refused"
2004,jc053,stroke,FALSE,"1. yes, 2, possible stroke or TIA, 3. disputes previous wave record, but now has the condition, 4. disputes previous wave record, does not have the condition, 5. No, 8. DK or NA, 9. RF. "
2004,jc065,psychiatric,FALSE,"1. yes, 3. Disputes. previous wave record, but now has, 4. disputes previous wave record, does not have, 5. No, 8. DK NA, 9. Refused"
2004,jc069,memorydisease,FALSE,"1. yes, 5. No, 8. DK or NA, 9 RF."
2004,jc070,arthritis,FALSE,"1. yes, 3. Disputes. previous wave record, but now has, 4. disputes previous wave record, does not have, 5. No, 8. DK NA, 9. Refused"
2004,jc223,vigorousactivity,FALSE,"1. More than once a week, 2. once a week. 3. one to three times a month, 4. Hardly ever or never."
2004,jc224,moderateactivity,FALSE,"1. More than once a week, 2. once a week. 3. one to three times a month, 4. Hardly ever or never."
2004,jc225,mildactivity,FALSE,"1. More than once a week, 2. once a week. 3. one to three times a month, 4. Hardly ever or never."
2006,kc005,hypertension,FALSE,"1. yes, 3. Disputes. previous wave record, but now has, 4. disputes previous wave record, does not have, 5. No, 8. DK NA, 9. Refused"
2006,kc010,diabetes,FALSE,"1. yes, 3. Disputes. previous wave record, but now has, 4. disputes previous wave record, does not have, 5. No, 8. DK NA, 9. Refused"
2006,kc018,cancer,FALSE,"1. yes, 3. Disputes. previous wave record, but now has, 4. disputes previous wave record, does not have, 5. No, 8. DK NA, 9. Refused"
2006,kc030,lungdisease,FALSE,"1. yes, 3. Disputes. previous wave record, but now has, 4. disputes previous wave record, does not have, 5. No, 8. DK NA, 9. Refused"
2006,kc036,heart,FALSE,"1. yes, 3. Disputes. previous wave record, but now has, 4. disputes previous wave record, does not have, 5. No, 8. DK NA, 9. Refused"
2006,kc053,stroke,FALSE,"1. yes, 2, possible stroke or TIA, 3. disputes previous wave record, but now has the condition, 4. disputes previous wave record, does not have the condition, 5. No, 8. DK or NA, 9. RF. "
2006,kc065,psychiatric,FALSE,"1. yes, 3. Disputes. previous wave record, but now has, 4. disputes previous wave record, does not have, 5. No, 8. DK NA, 9. Refused"
2006,kc069,memorydisease,FALSE,"1. yes, 5. No, 8. DK or NA, 9 RF."
2006,kc070,arthritis,FALSE,"1. yes, 3. Disputes. previous wave record, but now has, 4. disputes previous wave record, does not have, 5. No, 8. DK NA, 9. Refused"
2006,kc223,vigorousactivity,FALSE,"1. More than once a week, 2. once a week. 3. one to three times a month, 4. Hardly ever or never."
2006,kc224,moderateactivity,FALSE,"1. More than once a week, 2. once a week. 3. one to three times a month, 4. Hardly ever or never."
2006,kc225,mildactivity,FALSE,"1. More than once a week, 2. once a week. 3. one to three times a month, 4. Hardly ever or never."
2008,lc005,hypertension,FALSE,"1. yes, 3. Disputes. previous wave record, but now has, 4. disputes previous wave record, does not have, 5. No, 8. DK NA, 9. Refused"
2008,lc010,diabetes,FALSE,"1. yes, 3. Disputes. previous wave record, but now has, 4. disputes previous wave record, does not have, 5. No, 8. DK NA, 9. Refused"
2008,lc018,cancer,FALSE,"1. yes, 3. Disputes. previous wave record, but now has, 4. disputes previous wave record, does not have, 5. No, 8. DK NA, 9. Refused"
2008,lc030,lungdisease,FALSE,"1. yes, 3. Disputes. previous wave record, but now has, 4. disputes previous wave record, does not have, 5. No, 8. DK NA, 9. Refused"
2008,lc036,heart,FALSE,"1. yes, 3. Disputes. previous wave record, but now has, 4. disputes previous wave record, does not have, 5. No, 8. DK NA, 9. Refused"
2008,lc053,stroke,FALSE,"1. yes, 2, possible stroke or TIA, 3. disputes previous wave record, but now has the condition, 4. disputes previous wave record, does not have the condition, 5. No, 8. DK or NA, 9. RF. "
2008,lc065,psychiatric,FALSE,"1. yes, 3. Disputes. previous wave record, but now has, 4. disputes previous wave record, does not have, 5. No, 8. DK NA, 9. Refused"
